x,y,z
0.265,0.23,1142.867451
0.295,0.23,1243.99847
0.325,0.23,1272.087517
0.355,0.23,1217.213154
0.385,0.23,1157.153294
0.415,0.23,1197.993999
0.445,0.23,1386.474101
0.475,0.23,1535.610489
0.505,0.23,1887.22389
0.715,0.23,1361.356817
0.265,0.34,1434.943672
0.295,0.34,1544.521188
0.325,0.34,1713.850992
0.355,0.34,1485.116527
0.385,0.34,1695.807799
0.415,0.34,1628.014337
0.445,0.34,1389.600734
0.475,0.34,1607.385157
0.505,0.34,1692.204489
0.715,0.34,1876.464801
0.265,0.15,1420.546243
0.295,0.15,1366.10022
0.325,0.15,1521.192232
0.355,0.15,1557.645474
0.385,0.15,1547.268981
0.415,0.15,1752.819935
0.445,0.15,1911.692551
0.475,0.15,1682.474205
0.505,0.15,1512.618685
0.715,0.15,1823.245736
0.265,0.4,1982.558471
0.295,0.4,1936.412713
0.325,0.4,1803.355783
0.355,0.4,1839.671374
0.385,0.4,1657.303951
0.415,0.4,1682.883301
0.445,0.4,1806.77771
0.475,0.4,1909.963295
0.505,0.4,1957.34252
0.715,0.4,2875.185597
